id,puzzle,solution,clues,difficulty,solve_time,computed_solution
1,.....173..2..C..1C.7.......E32.B.53.G9.F..1..E8D6...2...C4...G57.F2A4E1.36....C5E.7CA...92...B.6.....D5...C...2....1........98.....E........54.......23...7...B.A.65F...19...7.E.3C9164.B5....F82...6...EF...5DC.79.5A.G..3..61FCA.8.......749.G.....4D2..G..3..,89EGB173DA25FC641CA7D564G8FE329B4532G9CF7B16AE8D6BDF28AEC4931G579F2A4E1B368G7DC5ED7CA3F89251GB4638GB9D5647CAEF2156417G2CFEBD98A371BE8C9A63DF54G2F48DE235AG7C61B9A265FBGD1948C73EG3C91647B5E2DAF82G136789EFA4B5DCD7945AEG8C3B261FCA583FB12D6749EGBEF6C4D251G9837A,,0,0.388712,89EGB173DA25FC641CA7D564G8FE329B4532G9CF7B16AE8D6BDF28AEC4931G579F2A4E1B368G7DC5ED7CA3F89251GB4638GB9D5647CAEF2156417G2CFEBD98A371BE8C9A63DF54G2F48DE235AG7C61B9A265FBGD1948C73EG3C91647B5E2DAF82G136789EFA4B5DCD7945AEG8C3B261FCA583FB12D6749EGBEF6C4D251G9837A
2,2..9.A1..7.3.....61...FGE...7..9D..B35.2..9..G1C3.E.....G.8.............BG31.....9.....B64..2.3..F..2....DE7.A..E....1.......D.FC1.A....29.6.4...8.....5...AG..65...AD.F7....E...E.4C.....18.7....6E...D9..542...........6D...G.9G.5.7B13..EF.A813C.84.A....9.5C,,,0,0.096520,
3,B...4....A..G13..74.EA6....8.B...F..21...6..7...61....9.3.7G.42......54.D8...G.E.4B.C.2.G.E.19F......71.4.A..8.....36F..9.....C..B.6.....C3.2E.C5...G..C...A3..F7..A8.3.2B.D.........4..EC.7..AB...B...F..15...A...45G...E....D......6..7.D...1....2AEC18..945..,,,0,0.335055,
4,..A.3..G7..E.8..32...1....C...D7GB...C9..82...5F6.5..........A.21EC.G......3.578D..4...E5...6..C.8.7C.5..G.D9.3..3..F4.8C.19..2..9..A3.2D.76..B..6.D1.4..C.A8.F.2..F...BG...D..15C1.D......B.7939.8..........B.5C1...7A..FE...6D4D...G....A...89..2.B..F9..C.G..,F4A932DG75BE18C632E851BAF6CG49D7GBD16C97A824E35F675C8FE43D91BAG21EC2G96DBA43F578DG942B3E578F61ACB8F7CA512G6D9E34A365F478CE19GD2B894GA3F2D1765CBE76BD1549EC3A82FG2A3F7ECBG958D6415C1ED8G642FBA7939F8A4D1C63G72BE5C1GB97A58FE2346D4D76EG231BA5CF89E523B68F94DC7G1A,,0.5,1.121432,F4A932DG75BE18C632E851BAF6CG49D7GBD16C97A824E35F675C8FE43D91BAG21EC2G96DBA43F578DG942B3E578F61ACB8F7CA512G6D9E34A365F478CE19GD2B894GA3F2D1765CBE76BD1549EC3A82FG2A3F7ECBG958D6415C1ED8G642FBA7939F8A4D1C63G72BE5C1GB97A58FE2346D4D76EG231BA5CF89E523B68F94DC7G1A
5,.1...FC7G.8.B....CE..68...A7D.F..........F..27A.G...2.A.9......5.5C..E..2..8....7G.28..9.EB.1D.3D.93F.54...1...8...8...2AG..F.C....E...8DC..6.B.B.8GE.4C...6...246.CA..F.5G.7E.1.73..9..4..A....6...3.G.8......E.........3..ABD..EB..87...C5G.4..A...2FE1.D.5...,21DA5FC7G48EB3699CE5468B32A7D1FG834B91EG5F6D27ACGF7623AD9B1C84E515CFGEB32D98467A7GA28C69FEB41D53DB93FA54C671EG28E46817D2AG53F9CBA9FE7G18DC3265B4BD8GE54C71F63A92462CAD3FB5G97E815731B92648EACFGD625D3BGA874F9C1EF817C495E32GABD63EB9D8716AC5G24FCAG462FE19DB5837,,0.5,0.669019,21DA5FC7G48EB3699CE5468B32A7D1FG834B91EG5F6D27ACGF7623AD9B1C84E515CFGEB32D98467A7GA28C69FEB41D53DB93FA54C671EG28E46817D2AG53F9CBA9FE7G18DC3265B4BD8GE54C71F63A92462CAD3FB5G97E815731B92648EACFGD625D3BGA874F9C1EF817C495E32GABD63EB9D8716AC5G24FCAG462FE19DB5837
6,4.8.....63...1...E..7.1......8..2.C.3.A8.E..B96...3A429.7.....C.E2..8.CF5.BGDC.1........4.DE5.......B.6...F..3.G1BA4.D.....7..F9A416.B.....3..DE....C.E...9..B.7........B.AD1...58..D.29E.GCA..6..E16G3.2.....5.F.2.1.BD.4..8AE..D..5.8......G..G.B.....9D...7..,,,0.5,0.194697,
7,.G.1........5.D...3.82....CD.4..4F7....D2....BG8...C9.7E41.G2....6...G.4F.8...9.5..36.1..2.CF..B..G.2..31..7.5..2..7.F.83.E.1..G1..5.E.CD.2.9..6..C.3..F9..E.D..F..4D.2..3.6G..5.7...9.1C.A...F....9B.37GC.1D...72F....56....841..4.F8....B2.A...C.E........7.6.,EG21A4F6B73859DC953A82GBEFCD64174F7613CD2A59EBG8B8DC957E416G2F3AA61B7GE4FD853C9254836D19A2GCFE7BCEGF2AB31697458D2D97CF583BE416AG13A5GE8CD42F97B6GBC8376F951EAD24F9E4DB2A8376G1C5D7625941CGAB83FE8A59B637GC41D2EF72FGECA569D3B841614DF89G7EB2CA533CBE41D258FA7G69,,2,34.884165,EG21A4F6B73859DC953A82GBEFCD64174F7613CD2A59EBG8B8DC957E416G2F3AA61B7GE4FD853C9254836D19A2GCFE7BCEGF2AB31697458D2D97CF583BE416AG13A5GE8CD42F97B6GBC8376F951EAD24F9E4DB2A8376G1C5D7625941CGAB83FE8A59B637GC41D2EF72FGECA569D3B841614DF89G7EB2CA533CBE41D258FA7G69
8,...8GE7..9BD2.........C638......6.D2F3....EC94.BEG.4.9.A2.7.5.18.8.7.14..DG.B.A.G..E........6..4.4.13B....65D.E...2...6..E...9....3...A..1...B...9.F7D....5A1.2.2..G........C..A.E.A.C2..69.3.F.82.C.4.G6.D.7.B99.4567....C8A2.1......5972.........BA21..543E...,35F8GE7419BD2AC61B7925C638A4FGDE6AD2F3815GEC947BEGC4D9BA2F7653185867914EFDG2BCA3GCAE5FD2B7396184F4913BG8AC65D7E2BD23CA674E81G95FD7364GAFC12E8B95C9BF7DE3845A162G215G869BD3F7CE4A4E8A1C25G69B3DF7821CE43G6ADF75B9934567FDEBC8A2G1A6EDB859721G4F3C7FGBA21C9543E86D,,2,3.701863,35F8GE7419BD2AC61B7925C638A4FGDE6AD2F3815GEC947BEGC4D9BA2F7653185867914EFDG2BCA3GCAE5FD2B7396184F4913BG8AC65D7E2BD23CA674E81G95FD7364GAFC12E8B95C9BF7DE3845A162G215G869BD3F7CE4A4E8A1C25G69B3DF7821CE43G6ADF75B9934567FDEBC8A2G1A6EDB859721G4F3C7FGBA21C9543E86D
9,.5D..2.F8.A..GE..7.A.59..2G.6.F....C........A.......AB4..5D7....E...4......A...1G....32A941....6.AC957.D6.E2F84....49..8B..CD......E7..64..G2....GB5D1.4A.7F3C9.D....FC5238....A8...3......1...F....8DF..A65.......8........7....9.B.C5..82.G.1..3E..6.BF.4..A2.,45D1623F89ABCGE7378AC591E2G46DFBBE2CG8D731F6A45996GFAB4EC5D71382E8F34G6CD75A92B1GB7DF32A94185EC61AC957BD6GE2F84362549E18BF3CD7AGCF3E7A864B9G21D52GB5D1E4A67F3C98D197BFC5238E46GA84A639G25DC1EB7F7C428DFG1A65B93EFD1824A9GEB3756CA96BEC53782DGF1453EG167BFC498A2D,,2,0.485400,45D1623F89ABCGE7378AC591E2G46DFBBE2CG8D731F6A45996GFAB4EC5D71382E8F34G6CD75A92B1GB7DF32A94185EC61AC957BD6GE2F84362549E18BF3CD7AGCF3E7A864B9G21D52GB5D1E4A67F3C98D197BFC5238E46GA84A639G25DC1EB7F7C428DFG1A65B93EFD1824A9GEB3756CA96BEC53782DGF1453EG167BFC498A2D
10,...782653EBG9....8D1........32E..AE...B1F8...75..B..D4....27..G....FB.3..C.91......C.7....E.B.....A.FE.C6.13.D...5.3...42...8.C..E.9...BG...D.F...8.EC.95.AB.6.....4.1....F.G......B6.F..7.85....4..3A....75..D..95...26D4...18..C16........FG4....D4G8E9631A...,CF4782653EBG9A1D98D17FCGA54632EB2AEG93B1F8CD47566B35D4EA1927C8GFG62FB83D7C5914AED19CG7A28FE4B36547A8FE5C6B132D9GE5B316942GDA8FC71E79A54BG362DCF8FD82ECG951AB763453642178EDFCG9BAAGCB6DF347985E2184GE3A1FC2756BD9795ACB26D4GFE1833C1659D7BA8EFG42B2FD4G8E9631A57C,,3.5,4.324909,CF4782653EBG9A1D98D17FCGA54632EB2AEG93B1F8CD47566B35D4EA1927C8GFG62FB83D7C5914AED19CG7A28FE4B36547A8FE5C6B132D9GE5B316942GDA8FC71E79A54BG362DCF8FD82ECG951AB763453642178EDFCG9BAAGCB6DF347985E2184GE3A1FC2756BD9795ACB26D4GFE1833C1659D7BA8EFG42B2FD4G8E9631A57C
11,1..F46D3....7.5C..96..82.7.......8..1.C......9...B7G......D.6.E....52..CA..9..7......E7...2..5A..1..9.4A.B678.....4.B.1.8C..3FG..FG1..BD.E.A.2.....432G.F8.C..9..35..F...4B......A..E..45..2F....9.2.C......E3F...1......D.F..6.......9.12..5A..G4.3....79A5C..8,1E2F46D39AGB785C4596GB82C7E3AD1FD83A17CE45F629BGCB7G5AF921D864E3BD852G3CAF491E769G6CFE78D321B5A431FE954AGB678CD2A247BD168C5E3FG96FG178BD3E9A42C5E7B432G5F81CD69A2359CFA164BDG78E8ACDE9645G72F13B79A2DC5GB684E3F15C18A42BED3F9G67F6EB839712CG5A4DG4D361EF79A5CB28,,3.5,42.344258,1E2F46D39AGB785C4596GB82C7E3AD1FD83A17CE45F629BGCB7G5AF921D864E3BD852G3CAF491E769G6CFE78D321B5A431FE954AGB678CD2A247BD168C5E3FG96FG178BD3E9A42C5E7B432G5F81CD69A2359CFA164BDG78E8ACDE9645G72F13B79A2DC5GB684E3F15C18A42BED3F9G67F6EB839712CG5A4DG4D361EF79A5CB28
12,3G.4C..B.D....E..8A.1..E......F2C..B5.....1.A.73..9...A.G.....86B.......C.8E.6...7C1G.8.4.BA...9.5...123.6F.4.B....8.BCF35.........C.D49A7.......B...8E5.4C.F.6..E726.1.F.G3...D8.......9.61.3....G...F.B.....DED..98.....E.6.GA.38.D..2......451A.7B..4.G....2.,3G24C76B8DAF95E178A6193E5C4BGDF2CFDB52G8E916A473519EF4ADG327CB86B93G4AD7C18E265FF7C1G58642BADE39A5ED912376FG4CB86248EBCF35D91GA7G6FC3D49A758E21B9B1378E524CDFA6G4E726C1AFBG3589D8D5A2FBG9E6173C42CG5A6F1B87439DED4B9835C1FE267GAE38FDG726A9CB1451A67BE94DG358F2C,,3.5,9.196629,3G24C76B8DAF95E178A6193E5C4BGDF2CFDB52G8E916A473519EF4ADG327CB86B93G4AD7C18E265FF7C1G58642BADE39A5ED912376FG4CB86248EBCF35D91GA7G6FC3D49A758E21B9B1378E524CDFA6G4E726C1AFBG3589D8D5A2FBG9E6173C42CG5A6F1B87439DED4B9835C1FE267GAE38FDG726A9CB1451A67BE94DG358F2C
14,.6..3......4..C....C..AG78..1...5..DB......E9..42....1.7B.9....8D53...8..2...9ACG....CD..54....E.7..6B3..E81..5..2..7.4..3.G..D...7..........8...C....6DA9....1.1D..4......3..279..5..B..1..3..F3.....F..B.....GA...C2G..658...16..F.A.BE.2.5..3.4B.539..7CF.28.,76983D5EGA142FCBBFEC94AG7862153D5A1DB628FC3E97G423G4F1C7BD95A6E8D531EG8F62B749ACGBF61CD2954A837EC7496B3ADE81FG5282AE7945C3FGB1D6FE7AG51324DC68B94C832F6DA97BGE151D6B48E95FG3CA279G25A7BC81E63D4F3852DEF14BA97C6GA9D7C2G43658EBF161CF8A7BEG2D5493E4BG539617CFD28A,,4.5,319.181188,769835EFGD142ACBB3EC94AG786215FD5A1DB628FC3E97G42GF4D1C7BA956E38D531GF8E627B49ACGF6B1CD2954A837EC7496B3ADE81FG5282AE7945C3FGB1D6FB762G1354DCA8E94C23F86DA9E7GB151DGA4E598FB3C6279E85A7BC21G63D4F3852EDF14BA97C6GA9D7C2G43658EFB161CF8A7BEG2D5493E4BG539617CFD28A
15,D14FE...9.....76.92.41.8....C....G.6.......8..B.....C76.A..5.......72...68G.B...B4.3...F.........E.8..4...AF.D5....C.9....D.G..4..5...D9F....7.C9.1.6B....3..E.D..F..C.58E.....1...G.E.4C..A...9F..4...6D32..........3E.G.69.2..7B.1.....F..3G.8....5..G.B..7..F,D14FE25B9GC3A876A92541G8BD76CFE3CG769FA3E418D5B2E38BC76DA2F5941G15A72D3C68G4B9FEB4D3G57F29E186CAGE98B6413CAF2D572F6CA98E75DBG134365E8GD9F1B247AC9C126BFA473G5E8D47FA3C258E9D6BG18DBG7E14C65AF329FAG418B6D327EC9558CDF3E7GA69124B7BE1DA925F4C3G68623954CG1B8E7ADF,,4.5,1095.858688,D14FE25B9GC3A876A92541G8BD76CFE3CG769FA3E418D5B2E38BC76DA2F5941G15A72D3C68G4B9FEB4D3G57F29E186CAGE98B6413CAF2D572F6CA98E75DBG134365E8GD9F1B247AC9C126BFA473G5E8D47FA3C258E9D6BG18DBG7E14C65AF329FAG418B6D327EC9558CDF3E7GA69124B7BE1DA925F4C3G68623954CG1B8E7ADF
13,3.9.8..G.2C........B...549......D...3B....A.45..4...7.2C3F.G.A....2.9.1........7....54.A....1.8.5.B4......G2....98FG.3.....7E...A9.......4D8.....B...G.....F573.67...D.2...E.1C..3.E4..B.5....A......8...1......2..3.FE.7....B9.7.C...3.G8.A..4.8F...7C..E..2..6,3A9F864GD2C5BE71G27BEAD5498136FCDC813B9FE7A6452G45E6712C3FBG8AD9E62A9C1853F4DGB7CD3754GA6BE9128F51B4DEF78AG2C96398FG23B6CD17E45AA9GC157324D86FEB1B42CG8EA69F573D6758FDA2BG3E91C4F3DE496B157CG8A2B46DA859F1237CGE2G136FE47C5DAB987EC9B231G86AFD458FA5G7CD9E4B2316,,4.5,,NaN
