id,puzzle,solution,time_sec,difficulty
1967081,6........9.8....1..3....8.4....8.9....59.1.7.....27..3..26..198.7.8....6.......2.,654718239928436715731259864267384951385961472419527683542673198173892546896145327,2.592,2.9
2714728,4.2....175..2.6......4....6...8...5.92....4......13.....8.62.7.3............8....,462598317513276894789431526637824159921657438854913762148362975396745281275189643,7.392,2.1
1084550,.....1.8...85.9..1..1..2..97......4.3.58......4..7..36.......6...4.2.........34.5,596731284238549671471682359712396548365814792849275136123458967654927813987163425,40.965,2.3
1236329,....1.2...157......9..5.3...7.2.84....9.7...22.....5.....36...4..6.......51.8...6,634819275815732649792654318573298461149576832268143597927365184486921753351487926,13.967,1.7
791814,..4..1.......67...2..45...612...6....5.8..9...4.7....2.....8.....3....81.78.3..5.,764281395985367124231459876127596438356842917849713562512978643493625781678134259,1.848,1.6
2346319,5..3.9.14..7.1.....3..........2..6...4..5..9.9....7.....1...26.2....3..8...5..7..,526379814487615932139482576713294685842156397965837421351748269274963158698521743,35.622,2.3
2326799,9...186...........5.29.....6..5...4......28...1...4.2.8.5.........6..154......73.,934218675781356492562947381628531947459762813317894526845173269273689154196425738,24.294,1.3
2568463,.......1..31.....8.8.2..47.9..68.54...5...8.1....2.3...9..37.....2..6....74.9....,749358612231764958586219473923681547465973821817425396198537264352146789674892135,22.378,1.9
1165790,5......7...7.....2.1.9..4......9.78....3.1.9.......5..76.5........24.....39.....6,526413879947865312813927465354692781278351694691784523762539148185246937439178256,89.185,2.5
231825,.97..31..6..5.4.9...1..7..8...16.....6..3..8.......57.....218...7.8..46..........,497683125682514793531297648759168234264735981318942576946321857173859462825476319,4.688,2.5
2788271,..18..9......65..169.....3.7...8..2.1...7.6.9.591......8......3..4.3............7,471823965832965741695417832763589124148372659259146378587694213924731586316258497,24.187,1.4
1857954,.4.7.8.........6.1.62...7.......5..2...9.7.8.5..43..9.6.......5.975...3......9...,145768329873294651962153748739815462416927583528436197684372915297541836351689274,2.685,1.8
49650,........77.524..6..1..7.9....4.293....86.54....3.......5...2..98...9...1......8..,386951247795248163412376985564729318178635492923814576651482739847593621239167854,24.752,1.1
1609042,......8.....8.7..9.5..2....1....54..8.21.......6.42....3...........6.37..65..324.,627491835314857629958326714173685492842139567596742183431278956289564371765913248,26.957,2.8
359507,9...3.7.2........5...1.98....8.....12.6.......1.75....87....12.....6.....3.4...9.,961538742483672915527149863748923651256814379319756284874395126195267438632481597,19.081,2.0
802638,9..3.82.6.83.7....6......1.5....6.....4.9...7...5..9.....9.....237........6...5..,945318276183672495672459318529786143364291857718534962851963724237145689496827531,9.548,1.2
1766862,..9........491....75.4.6...6.31.74.2.......6.....35..................281..2.79..5,169753824234918576758426319683197452975842163421635798546281937397564281812379645,13.076,2.6
858224,...76..413...85.76...4......91.7........1...37.2...8..8.79............6....34....,285769341314285976679431258591873624468512793732694815847956132953128467126347589,45.145,1.4
592553,..17..48.8..........3.59....8716.3........12......4...4....1.5.3..9....2.9.57....,921736485856412739743859216287165394564397128139284567478621953315948672692573841,0.582,1.3
2884462,.53....9.8...4.6...4...35..1...6.8.7..74..1...9...........7..4....8.......91...7.,253681794871549623946723581134962857627458139598317462315276948762894315489135276,12.992,1.3
1203222,7.......42..9.63.5.3.....16.........9..7......8..51.....65...9..2....1....723....,765183924214976385839425716471869532953742861682351479346518297528697143197234658,3.898,1.5
1088447,7..2.9..53..5.1..4...43...76..3..4......4..79.1.9.....2.3.............8.856....1.,741269835382571694965438127629387451538146279417952368293815746174693582856724913,1.636,1.1
2918949,........9...45.2..68.9....57.4.6...8.5.....1...81...4.....26.7.5.7...9...4.......,475632189139458267682917435714263598356849712928175643891526374567384921243791856,8.141,2.3
2789426,26..........78.6..8.1....94..7.5.........2.3..9.84...1..5..6.1.4..2...7..........,263594187954781623871623594127359468548162739396847251785436912439215876612978345,5.151,1.8
579659,.32...1......15.3....3.94.671.....6..6..2...9.5..4......85.....4......8....1.2...,932468157647215938185379426714953862863721549259846713328594671491637285576182394,12.911,1.2
322636,.4.1.....5...7.4..6.8.4.....1.8....68..63..1...92............43.8...29.52........,943128657521976438678543192314897526852634719769251384196785243487312965235469871,11.714,2.8
808031,.6....1.....2....8..9.....4..3.56.129..........4....836...7..5....8......32.6...9,265384197417295368389617524873456912926138475154729683648973251591842736732561849,109.573,2.0
288597,...186.2..3...2..9.........86.....5.....78.9...74....331........8......2.7.63...4,749186325638752149251349678864293751123578496597461283315824967486917532972635814,11.582,3.0
257852,.53..6........1....8.3...65...6...29.2...51384..........87...9.5......81....8...3,753296814964851372281374965815637429627945138439128657348712596592463781176589243,11.712,1.4
1626238,.8.7..63....9...1.6.7.1.8.......4..5.....72..84..2.....9.....7..5........63...59.,981752634435986712627413859372164985516897243849325167298531476154679328763248591,14.107,1.6
301653,12.6.943.......2....6......6.791...2..3.7....5.....3....9....6..5..4.1.....2..7..,125689437974135286836427915687913542413572698592864371249751863758346129361298754,3.746,2.0
1389714,9..6...7..1...9.2..3...4.85........68......5..6...13.42....8.3....32.....9...7...,985632471714859623632174985329745816841963752567281394256498137178326549493517268,23.216,1.2
132966,.....3.9..4......1.7.2.6.352..1......61.942..7...2.......4...5...9.7.....5....316,615843792342759681978216435283167549561394278794528163826431957139675824457982316,5.033,1.1
1539397,..5...63.8....7......6...485.7.......8.1......63.48.....8.....9....6...4....79.85,425981637896437251371625948547392816982156473163748592238514769759863124614279385,45.750,2.0
1308139,8..4....7.79....52....3...9.5..92...7..1.4...9127.............3..48.....28....1..,821459637379618452645237819458392761736184925912765348567941283194823576283576194,8.423,1.4
1763741,.1.94....8.7...........2.83..9...3..7....654...81......2..7....9.52....41.....7..,312948657897365421654712983269457318731826549548139276423671895975283164186594732,0.124,1.2
2252665,.7.3..5.9...1.4..2..2.9.6...2..873....4....1.65...3.....7....2....5.........6....,871326549596174832342895671129487356734659218658213794467938125283541967915762483,2.418,1.4
1592059,6...7....479..86.....4...5.32...4......2..8...9.....4......5.....318...27.1.4.5..,615973428479528631238416957326894175154237896897651243982765314543189762761342589,27.501,2.7
1645405,4....3..1..16....7..31.74...36.............25......8........5.45...94..2..98..6..,475983261821645937693127458236518749918476325754239816382761594567394182149852673,5.157,1.8
2441945,2...8.6..3...6.15.7.....4..46......2.....687...5....1......17.5.92.78..........8.,214785693389264157756139428461897532923516874875342916638921745592478361147653289,34.189,1.1
2180934,1....7......2.5.9...61....2...3.14......2.5..78.........38..1.....69..38.9.......,128937645374265891956148372569381427431729586782456913643872159215694738897513264,0.254,2.1
855893,....9....5..4.....134....8......1.9..4.96..3...28.54.6...5....8.71...........62..,287693154569418723134257689653741892748962531912835476426579318871324965395186247,6.025,2.6
261035,.....6..7.753..2..1.8.....6...847.1..49..........5....5..97....3.6....2.......8..,924186357675394281138725946253847619849631572761259438582973164396418725417562893,79.697,1.4
2382200,.72.9..1....87.4........6..25...1.73..........14...2..93....5.......3.6....254...,872496315163875492549132687258641973396527841714389256931768524425913768687254139,0.762,2.7
476260,2..5.....39..7......7...2.8..6..8.....4.....19...1.8.5.....6.3...31.2..9...4..6..,261589473398274516457361298516948327834725961972613845725896134643152789189437652,40.764,1.6
170126,6...5.......13...9.34..6.7.5........76...9.....87....4.7.9..2.....8....5....6.71.,691457832257138649834296571543681927762349158918725364375914286126873495489562713,1.744,2.1
155817,..1.26..53...........41....8..9..7.22.6...........3.81..4....569..7....4.........,781326495342589167659417823815964732236178549497253681174892356968735214523641978,43.564,3.0
2991197,.6.....1..8..1.3....4....5.8...3.9....9..6....31...87..7.4.8...3...5...7.....3.94,563897412782514369194362758827135946459786123631249875975428631346951287218673594,19.992,2.4
2584339,..5...7...4..3....9.7..5..8..4..2..6.1.......89...45.3....8.91..3.659......4.....,325846791148937652967215438574392186613578249892164573256783914431659827789421365,9.569,2.8
489751,..7..54....8....9..5.......2..1....7..4.3.8..6.9....2..31...2.....4.7..5....6...9,367295418148673592952814673283146957574932861619758324731589246896427135425361789,3.137,1.1
432730,5...93...67.........47...6...1.86..........1.8...4.7...9.4.......65..3.21..2....5,528693147679814523314725968751986234942357816863142759295438671486571392137269485,0.994,2.1
1566044,.1...5..2.7.6...3.....2.764..8....9.5....2.....2.3...5....1....83.5......24......,416375982279684531385921764168457293543192876792836415657218349831549627924763158,83.180,1.3
21564,...2..1.9.....4..8....1.73...5..7...4.8....95.6.4......593....7.3..5..62....2....,846273159317594628592618734125937486478162395963485271259346817734851962681729543,13.756,2.2
1044174,7....58..3....8..5.4.....3...75..2......8...6..54..9......6..4...6...57...2..9...,769345821321678495548291637937516284214983756685427913853762149196834572472159368,51.420,1.2
1383135,1...82...9....4..8....5..9..4......5...1.3.7...12...3..83...5.9.7.....614...36...,137982456956314728824657193342879615568143972791265834683721549275498361419536287,0.348,1.2
827144,..387...1..1..37.4....4..58.........71.....3.6..4..2.5.9......7.8...5...1.7.36...,543872691861593724279641358924357186715268439638419275392184567486725913157936842,6.433,1.4
1163801,9.1..8..2.6..4..5......3.......5274.7...6...1..98..6..5.......3......9243..7.....,931578462267941358845623197186352749753469281429817635514296873678135924392784516,3.929,1.1
54638,.75.9........5.......4..2.1.8.....72...1.894.26......8......6.3...34.....598.....,875291364142653789693487251984536172537128946261974538428715693716349825359862417,10.047,1.1
707896,..4.9.52..5.........6..87..16...7...8.9.4.......1.....6...5...1..1...47..73..2.9.,714396528258471963936528714165237849829645137347189256692754381581963472473812695,6.876,2.1
2386824,...3.6.........6.27.8....54..27.31..5.3..8.4.8....4..7.41.72....2..........9.....,259346718134587692768129354492753186573618249816294537341872965925461873687935421,37.700,2.4
193816,....62.756.15......5.....3..7.....1.....2..5..8....3......1.4....2.5.9....38.7...,938462175621573849754189236275938614349621758186745392597216483812354967463897521,5.737,1.2
401343,.2...8...7.493..........15.6...8.2..........9.57....1...2...3.6.3.1..97...67.....,523618497714935682869274153691487235348521769257396814172859346435162978986743521,5.280,1.4
