id,puzzle,solution,clues,difficulty,solve_time,computed_solution
2875056,.8...916.6.9.......2..6...45...9.42....7.....9..8.3.5...4..2..8..6...9.5..7......,785439162649281573123567894538196427461725389972843651394652718216378945857914236,25,4.5,1.480784,
1385453,.........46......3..1...7..3576....8..63.1....9.......9.54........8.65.7.....3.8.,728534691469172853531968724357649218846321975192785436985417362213896547674253189,23,3.3,1.504577,
2500421,.9.51..2..8...9.6..7..8...1...8..2..5.....3......46.8....9......12.6...8..3..5...,396517824281439567475682931164853279528791346739246185657928413912364758843175692,24,3.4,1.601105,
1694312,5....2..782.13....4...8...6......9...1...8...9.....2.8.8.32......4.75.6..7......2,561492837827136495439587126758264913312958674946713258685321749294875361173649582,25,3.8,1.459692,
201725,.....3.7.19.8....2.....98....7.5..3.6..1...5..5..2....4....26.5..653.............,268413579194875362375269841927654138643198257851327496439782615786531924512946783,23,4.0,1.631120,
1509315,7.......5..4....6..2.43.9..5...4.8....7.5......9728...6....72..3..1...84.........,796812345834579162125436978563941827287653491419728536641387259372195684958264713,24,3.2,1.501985,
330789,....7....41....7...7..86..3.8......9...65.3....18...5..3....48...9..7....6.......,653172894418935762972486513586723149794651328321894657137269485849517236265348971,22,5.6,1.743236,
1540360,..1..5.8....7..3...2..3..1..973...5...2..6..44.......27..91...3.8........4....97.,371265489958741326624839517897324651532186794416597832765918243289473165143652978,25,3.9,1.695664,
2935377,6..5...7........2..1..9.3....1..4.8.4....5.9..8.......94.8.2....3....1....56..9..,692543871358761429714298356571924683463185297289376514946812735837459162125637948,23,3.6,1.549941,
855422,..6..9...5........3...75....5..9..81...1....7.1...8.94....21..3..8..6.15.6....2..,846319752597482136321675849453297681689134527712568394975821463238746915164953278,25,4.9,1.475302,
2455289,..5..61.2.....35.............1.4....4...3....96...5.873...9...1.2...86..7......4.,845976132197283564632451978271849356458637219963125487386594721524718693719362845,23,3.2,1.678964,
2265031,.7.5.21..9...4...6.....3......2....378..3.5...9.....8....9.......8651.9..5.....4.,876592134935147826421863975514289763782436519693715482167924358348651297259378641,24,3.3,1.646520,
2022097,..2....1..5....984......7..6..78........21..5..4.....88..3......2..76.....6..92.3,792548316351267984468193752635784129987621435214935678849312567523476891176859243,24,3.5,1.554473,
